Date,Temperature_C,Rainfall_mm,Humidity_pct,WindSpeed_m_s
2015-01-01,15.08,0.02,44.51,2.13
2015-01-02,15.76,3.9,59.67,1.87
2015-01-03,14.41,10.12,76.62,1.7
2015-01-04,13.53,0.0,62.98,3.58
2015-01-05,13.07,0.0,44.1,5.79
2015-01-06,13.18,0.0,53.13,3.72
2015-01-07,12.44,0.0,55.87,3.26
2015-01-08,12.37,0.0,46.51,3.31
2015-01-09,11.7,0.0,39.9,2.77
2015-01-10,11.06,0.0,39.1,3.75
2015-01-11,12.12,0.0,36.93,3.43
2015-01-12,12.38,0.0,36.56,2.69
2015-01-13,12.19,0.0,39.03,2.98
2015-01-14,11.4,1.91,54.93,2.76
2015-01-15,11.22,0.0,67.56,2.6
2015-01-16,12.44,0.0,63.7,2.58
2015-01-17,13.65,0.0,55.9,3.3
2015-01-18,13.31,0.0,49.93,3.23
2015-01-19,13.0,0.0,43.43,2.64
2015-01-20,12.11,0.0,41.27,2.06
2015-01-21,13.27,3.16,42.38,2.58
2015-01-22,12.51,8.36,77.98,2.4
2015-01-23,13.19,2.56,76.24,1.89
2015-01-24,13.47,0.0,65.8,2.83
2015-01-25,12.68,0.0,45.88,2.82
2015-01-26,12.54,3.26,62.71,1.54
2015-01-27,12.2,0.0,61.75,3.16
2015-01-28,10.65,0.0,49.46,3.22
2015-01-29,10.4,0.0,42.55,3.65
2015-01-30,11.27,0.0,39.83,4.26
2015-01-31,13.16,0.0,36.8,3.79
2015-02-01,15.43,0.0,36.56,1.96
2015-02-02,15.79,0.0,42.78,3.39
2015-02-03,15.43,0.85,54.67,3.42
2015-02-04,14.15,0.27,62.64,3.56
2015-02-05,13.58,0.0,48.36,3.23
2015-02-06,14.97,0.0,39.5,2.03
2015-02-07,17.1,0.03,41.55,1.97
2015-02-08,17.33,0.0,44.16,2.73
2015-02-09,16.05,0.01,48.01,3.25
2015-02-10,15.44,0.0,41.84,3.5
2015-02-11,15.63,0.0,39.12,2.69
2015-02-12,15.05,0.0,38.18,3.09
2015-02-13,16.75,0.0,31.5,3.55
2015-02-14,19.76,0.0,36.06,2.25
2015-02-15,20.34,0.0,36.57,1.85
2015-02-16,19.54,0.0,38.14,2.95
2015-02-17,19.98,0.0,44.14,1.66
2015-02-18,20.9,0.0,40.01,1.44
2015-02-19,21.93,0.02,38.16,2.3
2015-02-20,21.72,1.76,41.7,2.22
2015-02-21,21.76,0.0,38.26,3.65
2015-02-22,21.92,0.0,43.13,4.57
2015-02-23,21.29,0.0,41.13,2.19
2015-02-24,21.94,0.0,37.87,1.84
2015-02-25,21.87,0.47,36.4,3.63
2015-02-26,16.34,1.62,28.45,2.91
2015-02-27,16.5,0.1,26.4,2.78
2015-02-28,18.08,0.09,31.21,2.39
2015-03-01,16.35,27.24,83.57,6.12
2015-03-02,16.85,26.81,83.9,3.9
2015-03-03,16.16,1.41,64.28,2.49
2015-03-04,15.82,0.0,48.97,3.38
2015-03-05,17.74,0.0,40.01,2.29
2015-03-06,18.46,0.01,48.8,2.89
2015-03-07,20.17,0.81,49.87,2.07
2015-03-08,20.16,4.41,54.08,2.53
2015-03-09,16.15,2.32,47.22,3.74
2015-03-10,16.54,0.0,47.63,3.73
2015-03-11,18.59,0.0,36.23,3.09
2015-03-12,21.21,0.0,38.12,2.97
2015-03-13,21.59,0.23,49.15,2.22
2015-03-14,22.21,0.31,54.78,1.87
2015-03-15,18.91,6.41,72.64,4.93
2015-03-16,19.28,5.65,72.76,2.7
2015-03-17,20.14,0.0,58.38,3.89
2015-03-18,19.76,0.0,53.11,4.48
2015-03-19,20.42,0.0,43.09,3.14
2015-03-20,22.34,0.0,36.16,2.98
2015-03-21,23.63,0.0,38.75,3.03
2015-03-22,24.59,0.0,44.46,3.98
2015-03-23,25.01,0.0,42.03,3.66
2015-03-24,27.15,0.0,29.79,1.93
2015-03-25,27.91,0.0,30.21,1.45
2015-03-26,27.71,0.0,36.78,2.28
2015-03-27,27.68,0.0,35.96,3.3
2015-03-28,27.63,0.0,29.79,2.68
2015-03-29,24.35,5.23,40.5,3.37
2015-03-30,21.83,6.27,68.02,4.36
2015-03-31,24.69,0.01,57.66,2.17
2015-04-01,26.64,0.15,44.99,2.16
2015-04-02,27.81,0.07,40.13,2.04
2015-04-03,24.91,5.93,52.74,3.31
2015-04-04,21.05,16.39,72.93,1.77
2015-04-05,22.89,0.0,57.56,1.65
2015-04-06,24.24,0.0,41.36,2.67
2015-04-07,25.5,0.04,38.53,1.41
2015-04-08,25.1,0.25,42.84,2.63
2015-04-09,24.75,0.0,41.71,3.75
2015-04-10,25.8,0.0,39.39,3.51
2015-04-11,28.47,0.0,31.36,1.55
2015-04-12,26.52,5.35,44.0,1.99
2015-04-13,23.96,1.63,60.72,2.88
2015-04-14,25.23,0.44,54.6,1.94
2015-04-15,26.56,1.06,51.17,1.91
2015-04-16,27.36,0.09,48.23,2.26
2015-04-17,27.61,0.03,43.56,4.62
2015-04-18,30.0,0.0,37.8,4.2
2015-04-19,31.85,0.0,33.5,2.53
2015-04-20,31.42,0.01,32.27,3.07
2015-04-21,30.13,0.0,31.3,3.96
2015-04-22,29.57,0.0,27.18,4.16
2015-04-23,30.9,0.0,24.31,2.41
2015-04-24,33.69,0.0,17.76,0.94
2015-04-25,32.41,0.0,20.61,1.99
2015-04-26,28.83,0.01,43.9,3.84
2015-04-27,30.26,0.46,40.22,3.45
2015-04-28,31.56,3.02,41.71,2.29
2015-04-29,32.18,0.02,31.01,1.65
2015-04-30,32.23,0.0,30.15,2.84
2015-05-01,31.35,0.46,32.86,1.87
2015-05-02,31.28,0.11,30.17,2.41
2015-05-03,31.81,0.0,21.83,1.93
2015-05-04,32.98,0.0,18.21,1.69
2015-05-05,32.42,0.0,20.49,3.07
2015-05-06,33.6,0.0,15.9,5.26
2015-05-07,34.61,0.0,15.73,5.3
2015-05-08,34.67,0.0,15.84,4.51
2015-05-09,34.92,0.0,22.1,2.93
2015-05-10,35.4,0.0,22.23,2.86
2015-05-11,36.38,0.01,21.17,1.99
2015-05-12,35.39,0.61,24.32,1.74
2015-05-13,34.14,0.43,26.89,2.33
2015-05-14,33.0,1.04,27.4,2.3
