Date,Temperature_C,Rainfall_mm,Humidity_pct,WindSpeed_m_s
2015-01-01,4.86,0.0,46.17,1.78
2015-01-02,3.53,1.0,62.77,2.15
2015-01-03,2.52,5.67,77.17,1.37
2015-01-04,1.38,0.3,67.08,1.89
2015-01-05,4.18,0.0,42.31,1.62
2015-01-06,4.66,0.0,48.59,1.67
2015-01-07,3.19,0.0,44.06,1.89
2015-01-08,3.63,0.0,29.03,2.37
2015-01-09,5.16,0.0,30.01,2.08
2015-01-10,6.27,0.0,27.31,2.21
2015-01-11,8.97,0.0,23.56,1.85
2015-01-12,8.03,0.0,29.87,1.72
2015-01-13,5.35,1.26,42.86,1.14
2015-01-14,0.97,6.08,78.58,0.84
2015-01-15,1.8,0.03,67.88,1.78
2015-01-16,3.13,0.0,57.74,1.94
2015-01-17,3.39,0.0,44.01,1.89
2015-01-18,3.84,0.0,41.71,1.98
2015-01-19,4.12,0.0,41.85,2.19
2015-01-20,5.3,0.0,38.36,1.68
2015-01-21,3.49,5.36,56.31,1.85
2015-01-22,2.0,6.19,90.38,1.62
2015-01-23,1.32,0.31,84.04,1.43
2015-01-24,2.43,0.0,69.18,1.69
2015-01-25,2.44,0.0,64.93,1.83
2015-01-26,0.83,0.82,66.25,1.71
2015-01-27,-0.52,0.67,78.3,1.66
2015-01-28,0.68,0.0,64.94,1.71
2015-01-29,-1.3,0.0,67.74,1.4
2015-01-30,0.76,0.0,45.95,2.11
2015-01-31,3.39,0.0,45.57,1.71
2015-02-01,3.62,0.0,57.91,1.91
2015-02-02,2.74,5.34,77.82,1.53
2015-02-03,0.98,12.23,91.59,2.87
2015-02-04,0.97,0.02,58.45,2.2
2015-02-05,3.67,0.0,41.91,2.07
2015-02-06,3.06,0.0,48.62,1.96
2015-02-07,3.53,0.01,54.12,1.72
2015-02-08,3.52,0.04,61.44,1.63
2015-02-09,3.7,0.0,58.22,1.83
2015-02-10,4.5,0.0,45.85,2.29
2015-02-11,4.76,0.0,49.11,1.69
2015-02-12,4.58,0.0,42.96,2.47
2015-02-13,6.24,0.0,40.09,2.31
2015-02-14,7.2,0.0,57.6,2.43
2015-02-15,7.81,0.07,53.31,2.21
2015-02-16,7.54,5.84,64.5,1.76
2015-02-17,7.04,1.3,69.73,1.58
2015-02-18,5.76,1.15,76.41,2.62
2015-02-19,4.63,4.86,73.39,1.91
2015-02-20,4.69,12.28,84.57,1.98
2015-02-21,5.89,0.02,57.06,2.65
2015-02-22,10.09,0.0,43.59,2.48
2015-02-23,11.79,0.0,47.65,1.79
2015-02-24,11.19,1.87,52.09,1.04
2015-02-25,5.86,10.64,85.97,3.93
2015-02-26,4.09,0.7,72.15,2.72
2015-02-27,3.32,0.16,55.33,2.27
2015-02-28,4.23,0.44,60.33,2.03
2015-03-01,3.54,57.02,85.68,1.93
2015-03-02,0.61,36.0,91.24,1.54
2015-03-03,-0.25,6.38,92.4,1.69
2015-03-04,-0.82,1.29,74.43,2.05
2015-03-05,0.58,1.36,69.87,2.02
2015-03-06,2.92,0.21,81.3,1.8
2015-03-07,2.76,1.91,72.1,2.49
2015-03-08,3.6,3.94,87.66,3.86
2015-03-09,0.6,4.25,77.78,1.98
2015-03-10,3.38,0.0,54.95,2.44
2015-03-11,5.93,0.0,54.51,2.1
2015-03-12,8.73,0.0,54.28,1.18
2015-03-13,7.74,0.0,59.76,1.95
2015-03-14,7.46,3.32,69.68,1.61
2015-03-15,6.47,6.19,84.03,2.6
2015-03-16,4.47,10.02,87.84,1.81
2015-03-17,5.11,0.99,82.51,1.5
2015-03-18,5.68,0.0,72.36,2.04
2015-03-19,7.02,0.0,60.73,2.06
2015-03-20,8.55,0.0,61.41,1.77
2015-03-21,8.68,0.0,63.81,2.11
2015-03-22,9.44,0.0,60.65,2.2
2015-03-23,10.81,0.0,59.32,2.5
2015-03-24,13.41,0.01,62.58,1.95
2015-03-25,13.22,0.12,66.84,2.23
2015-03-26,13.47,0.0,59.25,2.12
2015-03-27,14.03,0.0,53.58,2.33
2015-03-28,14.95,0.02,48.25,2.1
2015-03-29,9.43,14.51,74.66,2.77
2015-03-30,8.61,7.84,89.03,2.75
2015-03-31,8.88,0.24,71.58,1.91
2015-04-01,9.09,2.2,84.65,2.26
2015-04-02,10.17,1.53,76.6,2.18
2015-04-03,7.99,10.78,86.71,2.97
2015-04-04,8.41,2.35,83.63,2.87
2015-04-05,7.98,0.09,80.65,2.35
2015-04-06,9.0,2.21,70.41,2.29
2015-04-07,7.95,3.84,78.68,2.21
2015-04-08,8.64,0.2,74.36,2.21
2015-04-09,10.66,0.0,67.73,2.38
2015-04-10,11.89,0.0,60.87,2.31
2015-04-11,11.81,0.0,61.27,2.51
2015-04-12,11.41,0.0,69.07,2.23
2015-04-13,12.34,0.0,72.53,2.29
2015-04-14,12.56,0.35,79.79,2.05
2015-04-15,11.93,17.74,88.34,2.4
2015-04-16,11.07,6.34,84.04,2.01
2015-04-17,12.82,0.01,62.07,2.71
2015-04-18,14.64,0.0,50.8,2.64
2015-04-19,15.22,0.09,52.65,2.32
2015-04-20,15.54,1.56,60.7,3.64
2015-04-21,15.06,0.0,57.4,2.32
2015-04-22,14.76,0.0,55.11,2.56
2015-04-23,15.1,0.0,52.75,2.46
2015-04-24,15.16,0.0,53.15,2.44
2015-04-25,15.37,0.14,52.74,2.32
2015-04-26,15.3,0.05,59.5,2.87
2015-04-27,15.39,3.06,64.03,2.6
2015-04-28,14.76,1.05,57.81,2.59
2015-04-29,14.46,0.69,55.4,2.65
2015-04-30,13.95,4.92,55.33,2.04
2015-05-01,13.88,3.64,54.68,2.39
2015-05-02,13.69,0.0,47.58,2.56
2015-05-03,14.05,0.0,46.36,2.73
2015-05-04,16.01,0.0,43.48,2.83
2015-05-05,16.76,0.0,48.81,2.72
2015-05-06,17.84,0.0,49.71,2.28
2015-05-07,18.75,0.0,48.06,2.33
2015-05-08,18.97,0.0,51.56,2.18
2015-05-09,18.73,0.0,51.61,2.23
2015-05-10,18.2,0.15,55.34,2.23
2015-05-11,16.95,2.56,60.95,2.65
2015-05-12,16.53,3.75,61.67,2.66
2015-05-13,15.62,0.31,61.98,2.73
2015-05-14,15.29,3.13,65.75,2.57
2015-05-15,15.33,1.46,66.34,2.26
2015-05-16,18.06,0.03,58.7,2.71
2015-05-17,18.38,0.2,57.81,2.67
2015-05-18,19.0,0.05,56.2,3.16
2015-05-19,19.26,0.12,44.83,2.88
2015-05-20,18.63,0.01,40.91,2.96
2015-05-21,18.92,0.0,40.13,2.94
2015-05-22,19.75,0.0,34.18,2.82
2015-05-23,20.01,0.0,35.68,2.49
2015-05-24,19.64,0.06,40.6,3.43
2015-05-25,19.98,0.08,40.93,3.23
2015-05-26,19.61,0.05,34.01,3.69
2015-05-27,19.5,0.0,27.62,2.59
2015-05-28,19.94,0.0,26.8,2.65
2015-05-29,20.04,0.0,31.85,2.62
2015-05-30,19.35,0.01,40.15,3.01
2015-05-31,17.72,0.06,42.21,2.81
2015-06-01,17.61,0.15,39.15,2.82
2015-06-02,16.22,0.01,45.8,2.36
2015-06-03,16.6,0.97,47.32,3.01
2015-06-04,15.79,6.49,63.66,2.44
2015-06-05,17.12,0.39,62.72,2.56
2015-06-06,18.14,0.01,50.95,2.72
2015-06-07,18.77,0.03,48.31,2.73
2015-06-08,20.19,2.8,44.55,2.97
2015-06-09,19.64,0.85,47.66,3.31
2015-06-10,20.28,2.45,46.37,3.05
2015-06-11,19.59,0.63,47.73,2.94
2015-06-12,19.41,0.59,46.35,3.54
2015-06-13,18.37,2.36,52.29,2.89
2015-06-14,16.86,9.72,69.43,3.47
2015-06-15,16.57,1.67,75.66,2.86
2015-06-16,18.79,0.0,58.18,2.87
2015-06-17,20.39,0.27,52.34,2.56
2015-06-18,21.31,0.63,54.92,2.85
2015-06-19,21.24,2.83,59.48,2.42
2015-06-20,19.36,11.96,72.78,2.26
2015-06-21,19.26,11.91,68.05,2.91
2015-06-22,19.62,1.5,65.26,2.77
2015-06-23,19.37,5.99,68.21,2.72
2015-06-24,18.71,10.29,68.01,2.81
2015-06-25,16.15,13.52,66.25,2.77
2015-06-26,18.03,0.1,56.38,2.72
2015-06-27,19.51,0.0,52.24,2.74
2015-06-28,20.67,8.72,51.88,2.56
2015-06-29,19.08,15.15,66.31,2.74
2015-06-30,18.39,9.99,69.25,2.29
2015-07-01,18.04,1.67,73.12,2.72
2015-07-02,18.42,1.98,71.52,2.81
2015-07-03,20.3,0.17,68.69,2.79
2015-07-04,20.97,4.42,73.99,3.0
2015-07-05,21.16,20.0,77.72,2.89
2015-07-06,17.83,13.73,90.42,2.16
2015-07-07,17.08,13.64,89.53,2.34
2015-07-08,16.98,16.92,87.92,2.28
2015-07-09,18.46,10.76,83.34,2.71
2015-07-10,17.99,17.15,88.4,3.98
2015-07-11,16.86,50.78,87.1,2.2
2015-07-12,17.95,57.5,80.78,2.46
2015-07-13,18.56,21.21,84.88,2.18
2015-07-14,18.98,0.39,86.99,2.38
2015-07-15,20.15,1.91,82.74,2.46
2015-07-16,20.19,26.05,84.63,2.79
2015-07-17,17.95,35.6,90.76,1.33
2015-07-18,17.43,24.18,92.87,2.41
2015-07-19,17.55,3.26,94.25,2.56
2015-07-20,17.75,1.4,92.96,3.02
2015-07-21,17.9,5.7,85.97,1.35
2015-07-22,18.89,4.81,87.05,2.04
2015-07-23,17.69,4.5,93.97,2.98
2015-07-24,18.1,3.49,93.69,2.78
2015-07-25,18.68,7.32,92.64,2.62
2015-07-26,18.49,16.3,91.93,2.05
2015-07-27,18.71,3.44,90.87,3.25
2015-07-28,18.29,1.79,86.82,2.74
2015-07-29,19.03,0.1,87.88,2.2
2015-07-30,18.78,0.53,92.93,3.17
2015-07-31,18.19,10.44,91.92,2.99
2015-08-01,17.48,18.7,93.86,3.31
2015-08-02,17.16,2.99,93.25,2.88
2015-08-03,17.87,9.76,86.49,2.25
2015-08-04,18.6,1.32,89.88,2.64
2015-08-05,18.67,2.82,91.4,3.26
2015-08-06,18.6,17.38,93.48,3.0
2015-08-07,18.92,15.44,92.94,2.86
2015-08-08,17.93,11.06,94.59,2.6
2015-08-09,17.9,3.04,91.47,2.14
2015-08-10,18.09,5.27,91.6,2.75
2015-08-11,18.37,7.49,90.87,2.84
2015-08-12,17.86,8.23,93.65,2.78
2015-08-13,18.31,8.49,92.48,3.15
2015-08-14,18.44,1.01,92.77,3.21
2015-08-15,18.43,10.56,94.5,3.78
2015-08-16,18.15,6.42,91.9,3.0
2015-08-17,17.61,7.59,89.68,2.48
2015-08-18,17.48,19.04,88.91,2.43
